id,nama_kawasan,kecamatan,jumlah_pkl,latitude,longitude,status_akses,alasan
1,Sekitar Stasiun Jambangan,Jambangan,45,-7.332548,112.713222,Dekat Pasar,"Berjarak sekitar 0.31 km dari Pasar LKMK Pageasangan (<=3 km), termasuk zona layanan pasar tradisional."
2,Area Stasiun Benowo,Benowo,31,-7.254338,112.657292,Dekat Pasar,"Berjarak sekitar 0.16 km dari Pasar Banjar Sugihan (<=3 km), termasuk zona layanan pasar tradisional."
3,Sekitar Stasiun Pabean Cantian,Pabean Cantian,11,-7.208876,112.714491,Blank Spot,"Berjarak sekitar 3.17 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
4,Zona Kuliner Balai RW Kenjeran,Kenjeran,31,-7.207018,112.780861,Dekat Pasar,"Berjarak sekitar 1.78 km dari Pasar Surya Kedinding (<=3 km), termasuk zona layanan pasar tradisional."
5,Sentra PKL Depan Sekolah Pabean Cantian,Pabean Cantian,54,-7.211112,112.713617,Blank Spot,"Berjarak sekitar 3.08 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
6,Trotoar Taman Kota Gubeng,Gubeng,46,-7.269788,112.758552,Dekat Pasar,"Berjarak sekitar 0.66 km dari Pasar Gubeng Masjid (<=3 km), termasuk zona layanan pasar tradisional."
7,Zona Kuliner Depan Sekolah Gayungan,Gayungan,45,-7.323666,112.741195,Dekat Pasar,"Berjarak sekitar 1.04 km dari Pasar Surya Kendangsari (<=3 km), termasuk zona layanan pasar tradisional."
8,Sekitar Kampus Tenggilis Mejoyo,Tenggilis Mejoyo,60,-7.330343,112.774032,Dekat Pasar,"Berjarak sekitar 0.35 km dari Pasar Pahing (<=3 km), termasuk zona layanan pasar tradisional."
9,Bahu Jalan Kampus Wonocolo,Wonocolo,50,-7.313884,112.757311,Dekat Pasar,"Berjarak sekitar 0.76 km dari Pasar Krempyeng Sidosermo (<=3 km), termasuk zona layanan pasar tradisional."
10,Sentra PKL Kampus Bubutan,Bubutan,16,-7.254085,112.725377,Dekat Pasar,"Berjarak sekitar 0.22 km dari Pasar Tembok Dukuh (<=3 km), termasuk zona layanan pasar tradisional."
11,Lingkungan GOR Sambikerep,Sambikerep,21,-7.279272,112.657506,Dekat Pasar,"Berjarak sekitar 1.36 km dari Fresh Market Citraland (<=3 km), termasuk zona layanan pasar tradisional."
12,Zona Kuliner Jembatan Layang Pakal,Pakal,6,-7.277948,112.601801,Blank Spot,"Berjarak sekitar 4.27 km dari Pasar Surya Lakarsantri, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
13,Lingkungan Alun-Alun Tenggilis Mejoyo,Tenggilis Mejoyo,24,-7.308006,112.774797,Dekat Pasar,"Berjarak sekitar 0.80 km dari Pasar Semolowaru (<=3 km), termasuk zona layanan pasar tradisional."
14,Trotoar Alun-Alun Pakal,Pakal,51,-7.268902,112.614689,Blank Spot,"Berjarak sekitar 3.08 km dari Pasar Kendung, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
15,Area Perempatan Sukomanunggal,Sukomanunggal,18,-7.273199,112.709341,Dekat Pasar,"Berjarak sekitar 0.38 km dari Pasar Simo Hilir (<=3 km), termasuk zona layanan pasar tradisional."
16,Lingkungan Stasiun Jambangan,Jambangan,21,-7.338887,112.719848,Dekat Pasar,"Berjarak sekitar 0.39 km dari Pasar Dukuh Menanggal (<=3 km), termasuk zona layanan pasar tradisional."
17,Zona Kuliner Kampus Genteng,Genteng,13,-7.264325,112.755202,Dekat Pasar,"Berjarak sekitar 0.45 km dari Pasar Gubeng Masjid (<=3 km), termasuk zona layanan pasar tradisional."
18,Lingkungan GOR Bubutan,Bubutan,55,-7.25158,112.721286,Dekat Pasar,"Berjarak sekitar 0.65 km dari Pasar Asemrowo (<=3 km), termasuk zona layanan pasar tradisional."
19,Sentra PKL Taman Kota Kenjeran,Kenjeran,29,-7.207057,112.787622,Dekat Pasar,"Berjarak sekitar 2.03 km dari Sentra Ikan Bulak (<=3 km), termasuk zona layanan pasar tradisional."
20,Sentra PKL Perempatan Gayungan,Gayungan,12,-7.340385,112.730001,Dekat Pasar,"Berjarak sekitar 0.92 km dari Pasar Siwalankerto (<=3 km), termasuk zona layanan pasar tradisional."
21,Bahu Jalan Kampus Gubeng,Gubeng,26,-7.291254,112.754724,Dekat Pasar,"Berjarak sekitar 0.49 km dari Pasar Krukah (<=3 km), termasuk zona layanan pasar tradisional."
22,Sekitar Perempatan Wonocolo,Wonocolo,33,-7.303814,112.765217,Dekat Pasar,"Berjarak sekitar 0.83 km dari Pasar Burung Bratang (<=3 km), termasuk zona layanan pasar tradisional."
23,Lingkungan GOR Karang Pilang,Karang Pilang,7,-7.351142,112.6696,Blank Spot,"Berjarak sekitar 3.00 km dari Pasar Karang Pilang, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
24,Bahu Jalan Taman Kota Gubeng,Gubeng,39,-7.287742,112.764782,Dekat Pasar,"Berjarak sekitar 0.81 km dari Pasar Manyar Surabaya (<=3 km), termasuk zona layanan pasar tradisional."
25,Zona Kuliner Terminal Genteng,Genteng,59,-7.26607,112.753155,Dekat Pasar,"Berjarak sekitar 0.18 km dari Pasar Gubeng Masjid (<=3 km), termasuk zona layanan pasar tradisional."
26,Area Pasar Lama Pabean Cantian,Pabean Cantian,20,-7.184735,112.688615,Blank Spot,"Berjarak sekitar 3.04 km dari Tempat Pelelangan Ikan, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
27,Sentra PKL Balai RW Dukuh Pakis,Dukuh Pakis,21,-7.293176,112.724886,Dekat Pasar,"Berjarak sekitar 0.18 km dari Pasar Wonokitri (<=3 km), termasuk zona layanan pasar tradisional."
28,Area Stasiun Asemrowo,Asemrowo,37,-7.235343,112.709187,Dekat Pasar,"Berjarak sekitar 0.97 km dari Pasar Bangun Rejo (<=3 km), termasuk zona layanan pasar tradisional."
29,Sekitar Perempatan Pabean Cantian,Pabean Cantian,54,-7.192213,112.70706,Blank Spot,"Berjarak sekitar 4.71 km dari Tempat Pelelangan Ikan, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
30,Lingkungan Perumahan Sambikerep,Sambikerep,43,-7.283203,112.608356,Blank Spot,"Berjarak sekitar 3.34 km dari Pasar Surya Lakarsantri, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
31,Area Depan Sekolah Asemrowo,Asemrowo,6,-7.204829,112.684127,Dekat Pasar,"Berjarak sekitar 2.24 km dari Tempat Pelelangan Ikan (<=3 km), termasuk zona layanan pasar tradisional."
32,Kawasan Balai RW Benowo,Benowo,57,-7.262339,112.620881,Dekat Pasar,"Berjarak sekitar 2.09 km dari Pasar Kendung (<=3 km), termasuk zona layanan pasar tradisional."
33,Area Stasiun Karang Pilang,Karang Pilang,47,-7.345612,112.660513,Blank Spot,"Berjarak sekitar 3.81 km dari Pasar Tradisional Jala Wage, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
34,Trotoar Perumahan Pabean Cantian,Pabean Cantian,21,-7.196706,112.725501,Blank Spot,"Berjarak sekitar 3.68 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
35,Sentra PKL Simpang Jalan Simokerto,Simokerto,31,-7.240164,112.755448,Dekat Pasar,"Berjarak sekitar 0.67 km dari Pasar Kapasan (<=3 km), termasuk zona layanan pasar tradisional."
36,Sentra PKL Stasiun Sawahan,Sawahan,47,-7.273132,112.727369,Dekat Pasar,"Berjarak sekitar 0.17 km dari Pasar Kupang (<=3 km), termasuk zona layanan pasar tradisional."
37,Lingkungan Terminal Sambikerep,Sambikerep,32,-7.269671,112.667973,Dekat Pasar,"Berjarak sekitar 0.16 km dari Pasar Dorowati (<=3 km), termasuk zona layanan pasar tradisional."
38,Trotoar Ruko Wonokromo,Wonokromo,40,-7.296796,112.753253,Dekat Pasar,"Berjarak sekitar 0.14 km dari Pasar Krukah (<=3 km), termasuk zona layanan pasar tradisional."
39,Bahu Jalan Ruko Sukolilo,Sukolilo,47,-7.304761,112.78395,Dekat Pasar,"Berjarak sekitar 0.57 km dari Pasar Semolowaru (<=3 km), termasuk zona layanan pasar tradisional."
40,Trotoar GOR Wonokromo,Wonokromo,38,-7.29031,112.751548,Dekat Pasar,"Berjarak sekitar 0.63 km dari Pasar Krukah (<=3 km), termasuk zona layanan pasar tradisional."
41,Area Stasiun Sambikerep,Sambikerep,34,-7.26382,112.660899,Dekat Pasar,"Berjarak sekitar 0.26 km dari Pasar Darurat (Manukan Kulon) (<=3 km), termasuk zona layanan pasar tradisional."
42,Sekitar Pasar Lama Tegalsari,Tegalsari,46,-7.269645,112.746775,Dekat Pasar,"Berjarak sekitar 0.71 km dari Pasar Gubeng Masjid (<=3 km), termasuk zona layanan pasar tradisional."
43,Bahu Jalan GOR Gubeng,Gubeng,40,-7.293551,112.75817,Dekat Pasar,"Berjarak sekitar 0.51 km dari Pasar Bunga Bratang (<=3 km), termasuk zona layanan pasar tradisional."
44,Bahu Jalan Pertokoan Bubutan,Bubutan,52,-7.251274,112.727079,Dekat Pasar,"Berjarak sekitar 0.26 km dari Pasar Gundih (<=3 km), termasuk zona layanan pasar tradisional."
45,Bahu Jalan Kampus Pabean Cantian,Pabean Cantian,10,-7.191596,112.691176,Blank Spot,"Berjarak sekitar 3.01 km dari Tempat Pelelangan Ikan, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
46,Lingkungan Stasiun Pabean Cantian,Pabean Cantian,49,-7.199862,112.733708,Blank Spot,"Berjarak sekitar 3.17 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
